HiringAgency,jobLink,jobNum,Job_ID,Num_of_Positions,Business_Title,Title_Code_No,Level,Civil_Service_Title,Title_Classification,Job_Category,Proposed_Salary_Range,Career_Level,Work_Location,Division_Work_Unit,Posted,Post_Until
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432978&PostingSeq=1&,432978,432978,2,Agency Attorney 2,30087,02,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,"$ 71,423.00 - $ 82,137.00 (Annual)",Experienced (non-manager),"22 Reade St, Ny",Law Enforc.Bureau Executive,02/10/2020,Until Filled
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432997&PostingSeq=1&,432997,432997,1,Agency Attorney I - Early Intervention Unit,30087,01,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,"$ 63,228.00 - $ 72,712.00 (Annual)",Entry-Level,"22 Reade St, Ny",Law Enforc.Bureau Executive,02/10/2020,Until Filled
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=431033&PostingSeq=1&,431033,431033,1,Program & Policy Specialist for Racial and Restorative Justice,55038,01,ASSOCIATE HUMAN RIGHTS SPECIAL,Competitive,Constituent Services & Community Programs,"$ 58,449.00 - $ 67,216.00 (Annual)",Experienced (non-manager),"22 Reade St, Ny",Executive,01/29/2020,Until Filled
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=424572&PostingSeq=1&,424572,424572,1,Procurement & Compliance Analyst,56058,00,COMMUNITY COORDINATOR,Non-Competitive,"Finance, Accounting, & Procurement","$ 54,100.00 - $ 80,000.00 (Annual)",Experienced (non-manager),"22 Reade St, Ny",Budget Division,12/02/2019,Until Filled
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=423941&PostingSeq=1&,423941,423941,4,Agency Attorney I,30087,01,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,"$ 63,228.00 - $ 72,712.00 (Annual)",Entry-Level,"22 Reade St, Ny",Law Enforc.Bureau Executive,11/22/2019,Until Filled
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=421783&PostingSeq=1&,421783,421783,2,Agency Attorney 1,30087,01,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,"$ 63,228.00 - $ 72,712.00 (Annual)",Experienced (non-manager),"22 Reade St, Ny",Law Enforc.Bureau Executive,11/04/2019,Until Filled
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=419921&PostingSeq=1&,419921,419921,1,Associate Human Rights Specialist,55038,01,ASSOCIATE HUMAN RIGHTS SPECIAL,Competitive,"Constituent Services & Community Programs, Policy, Research & Analysis, Social Services","$ 56,746.00 - $ 65,258.00 (Annual)",Experienced (non-manager),1932 Arthur Ave 2Nd Flr Bronx,Comm.Rel.Bureau-Central,10/21/2019,Until Filled
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=416057&PostingSeq=1&,416057,416057,1,Information Technology Program Director,10074,M1,COMPUTER OPERATIONS MANAGER (S,Competitive,"Technology, Data & Innovation","$ 56,990.00 - $156,829.00 (Annual)",Manager,"22 Reade St, Ny",Administrative Services.,10/08/2019,Until Filled
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415862&PostingSeq=1&,415862,415862,1,Supervising Attorney-Employment,95005,M1,EXECUTIVE AGENCY COUNSEL,Non-Competitive,Legal Affairs,"$ 56,990.00 - $ 95,000.00 (Annual)",Manager,"22 Reade St, Ny",Law Enforc.Bureau Executive,10/08/2019,Until Filled
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=405753&PostingSeq=1&,405753,405753,1,Discriminatory Harassment Investigator,55018,00,HUMAN RIGHTS SPECIALIST (COMM,Non-Competitive,Constituent Services & Community Programs,"$ 47,933.00 - $ 55,123.00 (Annual)",Experienced (non-manager),"151-20 Jamaica Ave, Jamaica Ny",Comm.Rel.Bureau-Central,08/13/2019,Until Filled
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=384600&PostingSeq=1&,384600,384600,1,SUPERVISING ATTORNEY,95005,M1,EXECUTIVE AGENCY COUNSEL,Non-Competitive,Legal Affairs,"$ 56,990.00 - $ 95,000.00 (Annual)",Manager,"22 Reade St, Ny",Law Enforc.Bureau Executive,02/21/2019,Until Filled
DEPARTMENT OF BUSINESS SERV.,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=413319&PostingSeq=1&,413319,413319,1,"DEPUTY DIRECTOR, PARTNERSHIPS AND COMMUNICATIONS",1000C,00,ADMINISTRATIVE BUSINESS PROMOT,Competitive,Communications & Intergovernmental Affairs,"$ 56,990.00 - $ 96,000.00 (Annual)",Manager,110 William St. N Y,Wib,09/23/2019,Until Filled
DEPARTMENT OF BUSINESS SERV.,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=413325&PostingSeq=1&,413325,413325,1,PROJECT MANAGER,56058,00,COMMUNITY COORDINATOR,Non-Competitive,Communications & Intergovernmental Affairs,"$ 52,524.00 - $ 67,000.00 (Annual)",Experienced (non-manager),110 William St. N Y,Wib,09/23/2019,Until Filled
DEPT OF CITYWIDE ADMIN SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441892&PostingSeq=1&,441892,441892,1,Cyber Security Analyst,95714,00,IT INFRASTRUCTURE ENGINEER,Non-Competitive,"Technology, Data & Innovation","$ 78,795.00 - $110,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Information Technology,07/17/2020,08/16/2020
DEPT OF CITYWIDE ADMIN SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441867&PostingSeq=1&,441867,441867,1,"Director, Investigations and Compliance",95005,M2,EXECUTIVE AGENCY COUNSEL,Non-Competitive,"Administration & Human Resources, Legal Affairs","$115,000.00 - $125,000.00 (Annual)",Manager,"1 Centre St., N.Y.",Citywide Equity and Inclusion,07/17/2020,08/16/2020
DEPT OF CITYWIDE ADMIN SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441877&PostingSeq=1&,441877,441877,1,Fleet Inspector,92510,00,AUTO MECHANIC,Competitive,"Policy, Research & Analysis, Public Safety, Inspections, & Enforcement",$    298.24 - $    298.24 (Daily),Experienced (non-manager),"1 Centre St., N.Y.",FLEET SERVICES,07/17/2020,08/16/2020
DEPT OF CITYWIDE ADMIN SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441876&PostingSeq=1&,441876,441876,1,IT & A/V Project Manager,95710,00,IT PROJECT SPECIALIST,Non-Competitive,"Engineering, Architecture, & Planning","$ 82,000.00 - $ 95,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Res/Design & Proj Mgmt,07/17/2020,08/16/2020
DEPT OF CITYWIDE ADMIN SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441873&PostingSeq=1&,441873,441873,1,Special Assistant,10209,01,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive,Administration & Human Resources,$     16.00 - $     19.00 (Hourly),Student,"1 Centre St., N.Y.",Citywide Equity and Inclusion,07/17/2020,08/16/2020
DEPT OF CITYWIDE ADMIN SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441255&PostingSeq=1&,441255,441255,1,Contract Auditor,10010,M1,ADMINISTRATIVE MANAGEMENT AUDI,Competitive,"Finance, Accounting, & Procurement","$ 80,931.00 - $ 87,277.00 (Annual)",Manager,"1 Centre St., N.Y.",OCP/Performance Mgt & Analysis,06/23/2020,07/23/2020
CONSUMER AFFAIRS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440530&PostingSeq=1&,440530,440530,1,Staff Counsel,30087,02,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,"$ 71,423.00 - $ 82,137.00 (Annual)",Executive,"42 Broadway, N.Y.",General Counsel’s Office,05/22/2020,07/21/2020
CONSUMER AFFAIRS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435122&PostingSeq=1&,435122,435122,1,Senior Application Developer,13632,03,COMPUTER SPECIALIST (SOFTWARE),Competitive,"Technology, Data & Innovation","$ 92,194.00 - $106,023.00 (Annual)",Experienced (non-manager),"42 Broadway, N.Y.",Tech & Strategic Solutions,02/24/2020,09/11/2020
CONSUMER AFFAIRS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=426727&PostingSeq=1&,426727,426727,1,Staff Counsel,30087,02,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,"$ 71,423.00 - $ 82,137.00 (Annual)",Experienced (non-manager),"42 Broadway, N.Y.",General Counsel’s Office,12/27/2019,08/23/2020
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441869&PostingSeq=1&,441869,441869,1,Disability Rights Coordinator for Inmates (DRCI),52615,02,CORRECTIONAL STANDARDS REVIEW,Non-Competitive,"Public Safety, Inspections, & Enforcement","$ 61,302.00 - $ 70,497.00 (Annual)",Entry-Level,75-20 Astoria Blvd,Health Affairs,07/17/2020,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439139&PostingSeq=1&,439139,439139,7,Agency Attorney,30087,02,AGENCY ATTORNEY,Non-Competitive,"Communications & Intergovernmental Affairs, Legal Affairs","$ 71,423.00 - $ 91,563.00 (Annual)",Experienced (non-manager),75-20 Astoria Blvd,Office of Trials,03/31/2020,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=438943&PostingSeq=1&,438943,438943,1,"Assistant Commissioner, Financial Management & Budget Administration",95041,M4,ASSISTANT COMMISSIONER (DOC),Non-Competitive,"Finance, Accounting, & Procurement","$145,000.00 - $155,000.00 (Annual)",Executive,75-20 Astoria Blvd,Budget Division,03/25/2020,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435593&PostingSeq=1&,435593,435593,1,Policy Analyst,56058,00,COMMUNITY COORDINATOR,Non-Competitive,Communications & Intergovernmental Affairs,"$ 54,100.00 - $ 62,215.00 (Annual)",Experienced (non-manager),75-20 Astoria Blvd,Commissioner,02/26/2020,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432393&PostingSeq=1&,432393,432393,5,EXTERMINATOR,90510,01,EXTERMINATOR,Competitive,"Public Safety, Inspections, & Enforcement","$ 34,027.00 - $ 47,967.00 (Annual)",Experienced (non-manager),75-20 Astoria Blvd,Assets Management,02/07/2020,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432199&PostingSeq=1&,432199,432199,1,SharePoint Developer,13632,02,COMPUTER SPECIALIST (SOFTWARE),Competitive,"Technology, Data & Innovation","$ 85,371.00 - $ 98,177.00 (Annual)",Experienced (non-manager),75-20 Astoria Blvd,Information Systems-Admin,02/05/2020,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432201&PostingSeq=1&,432201,432201,1,Software Support Analyst,13632,01,COMPUTER SPECIALIST (SOFTWARE),Competitive,"Technology, Data & Innovation","$ 81,951.00 - $ 94,244.00 (Annual)",Experienced (non-manager),75-20 Astoria Blvd,Information Systems-Admin,02/05/2020,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=426409&PostingSeq=1&,426409,426409,1,"Senior Correctional Institution Administrator, PREA",31142,M5,CONFIDENTIAL AGENCY INVESTIGAT,Non-Competitive,"Public Safety, Inspections, & Enforcement","$140,000.00 - $165,000.00 (Annual)",Manager,75-20 Astoria Blvd,Sexual Abuse & Harassment Prev,12/18/2019,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=424739&PostingSeq=1&,424739,424739,1,Infrastructure Project Manager,10050,M1,COMPUTER SYSTEMS MANAGER,Competitive,"Technology, Data & Innovation",$     45.00 - $     88.75 (Hourly),Experienced (non-manager),75-20 Astoria Blvd,Information Systems-Admin,12/03/2019,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=424454&PostingSeq=1&,424454,424454,2,Desktop Support Technician,20246,02,TELECOMMUNICATIONS ASSOCIATE (,Competitive,"Technology, Data & Innovation","$ 60,550.00 - $ 69,632.00 (Annual)",Experienced (non-manager),Rikers Island,Information Systems-Admin,11/29/2019,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=424469&PostingSeq=1&,424469,424469,1,Voice Communication Specialist,13652,01,CERTIFIED IT ADMINISTRATOR (LA,Competitive,"Technology, Data & Innovation","$ 81,951.00 - $ 94,244.00 (Annual)",Experienced (non-manager),75-20 Astoria Blvd,Information Systems-Admin,11/29/2019,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=423322&PostingSeq=1&,423322,423322,1,"Assistant Commissioner, Internal Communications",95041,M4,ASSISTANT COMMISSIONER (DOC),Non-Competitive,Communications & Intergovernmental Affairs,"$130,000.00 - $145,000.00 (Annual)",Executive,75-20 Astoria Blvd,Civilian Managers,11/19/2019,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=420708&PostingSeq=1&,420708,420708,20,Investigator,06316,02,INVESTIGATOR(DISCP)(ONLY FOR P,Pending Classification,"Public Safety, Inspections, & Enforcement","$ 56,473.00 - $ 56,473.00 (Annual)",Entry-Level,75-20 Astoria Blvd,Investigation Division,10/28/2019,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415211&PostingSeq=1&,415211,415211,1,Data Analyst,21744,02,CITY RESEARCH SCIENTIST,Non-Competitive,"Technology, Data & Innovation, Policy, Research & Analysis","$ 73,305.00 - $ 84,301.00 (Annual)",Experienced (non-manager),75-20 Astoria Blvd,Information Systems-Admin,10/02/2019,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=393911&PostingSeq=1&,393911,393911,1,"Director, Borough Based Jail System",10009,M1,ADMINISTRATIVE BUSINESS PROMOT,Competitive,"Public Safety, Inspections, & Enforcement","$100,000.00 - $110,000.00 (Annual)",Manager,75-20 Astoria Blvd,Commissioner,05/06/2019,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=387572&PostingSeq=1&,387572,387572,1,DIRECTOR OF DATA ANALYTICS AND RESEARCH,21744,4A,CITY RESEARCH SCIENTIST,Non-Competitive,"Policy, Research & Analysis","$ 91,537.00 - $105,268.00 (Annual)",Manager,75-20 Astoria Blvd,Information Systems-Admin,03/22/2019,Until Filled
DEPARTMENT OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=384305&PostingSeq=1&,384305,384305,1,Technical Project Manager,10074,M1,COMPUTER OPERATIONS MANAGER (S,Competitive,"Technology, Data & Innovation","$100,000.00 - $120,000.00 (Annual)",Manager,75-20 Astoria Blvd,Information Systems-Admin,02/19/2019,Until Filled
CULTURAL AFFAIRS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=427543&PostingSeq=1&,427543,427543,1,Executive Director of Materials for the Arts,06782,M1,EXECUTIVE DIRECTOR OF MATERIAL,Pending Classification,Constituent Services & Community Programs,"$ 58,700.00 - $115,000.00 (Annual)",Executive,"33-00 Northern Blvd., Lic Ny",Material For The Arts,01/03/2020,Until Filled
DEPT OF DESIGN & CONSTRUCTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441059&PostingSeq=1&,441059,441059,1,Deputy Agency Chief Contracting Officer,8297A,00,ADM PROC ANAL-NM FRM M1-3,Competitive,"Finance, Accounting, & Procurement","$ 63,332.00 - $147,388.00 (Annual)",Experienced (non-manager),30-30 Thomson Ave L I City Qns,Admin/Acco-Prof Contracts,06/19/2020,10/07/2020
DEPT OF DESIGN & CONSTRUCTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440565&PostingSeq=1&,440565,440565,1,Chief Financial Officer,10026,M5,ADMINISTRATIVE STAFF ANALYST (,Competitive,"Finance, Accounting, & Procurement","$ 88,936.00 - $223,761.00 (Annual)",Manager,30-30 Thomson Ave L I City Qns,F&P/Executive,05/27/2020,08/25/2020
DEPT OF DESIGN & CONSTRUCTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432083&PostingSeq=1&,432083,432083,4,Design Engineer,20210,00,ASSISTANT CIVIL ENGINEER,Competitive,"Engineering, Architecture, & Planning","$ 57,078.00 - $ 85,646.00 (Annual)",Experienced (non-manager),30-30 Thomson Ave L I City Qns,Infra-Coastal Resiliency,02/14/2020,08/12/2020
DEPT OF DESIGN & CONSTRUCTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432093&PostingSeq=1&,432093,432093,1,Resident Engineer,34202,02,CONSTRUCTION PROJECT MANAGER,Competitive,"Engineering, Architecture, & Planning","$ 67,757.00 - $ 98,128.00 (Annual)",Experienced (non-manager),30-30 Thomson Ave L I City Qns,Infra-Coastal Resiliency,02/14/2020,08/12/2020
DEPT OF DESIGN & CONSTRUCTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=428830&PostingSeq=1&,428830,428830,2,Assistant Landscape Architect,21310,00,ASSISTANT LANDSCAPE ARCHITECT,Competitive,"Engineering, Architecture, & Planning","$ 57,078.00 - $ 85,646.00 (Annual)",Experienced (non-manager),30-30 Thomson Ave L I City Qns,Infra/Exec/Utility Coord.,02/13/2020,08/11/2020
DEPT OF DESIGN & CONSTRUCTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=433131&PostingSeq=1&,433131,433131,4,Executive Project Audit Engineer,8299A,00,ADM CONSTRUCTION PRJ MGR-NM,Competitive,"Engineering, Architecture, & Planning","$ 53,702.00 - $146,121.00 (Annual)",Experienced (non-manager),30-30 Thomson Ave L I City Qns,Prog Mgmt/Eao-Executive,02/13/2020,08/11/2020
DEPT OF DESIGN & CONSTRUCTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432272&PostingSeq=1&,432272,432272,2,Geotechnical Project Manager,21915,02,GEOLOGIST,Competitive,"Engineering, Architecture, & Planning","$ 57,078.00 - $ 85,646.00 (Annual)",Experienced (non-manager),30-30 Thomson Ave L I City Qns,Prog Mgmt/Sss-Begs,02/06/2020,08/04/2020
DEPT OF DESIGN & CONSTRUCTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=430028&PostingSeq=1&,430028,430028,1,Construction Project Manager Intern,34201,00,CONSTRUCTION PROJECT MANAGER I,Competitive,"Engineering, Architecture, & Planning","$ 51,413.00 - $ 62,260.00 (Annual)",Entry-Level,30-30 Thomson Ave L I City Qns,Pub Bldgs/Exec/Proj Excellence,01/31/2020,07/29/2020
DEPT OF DESIGN & CONSTRUCTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=429658&PostingSeq=1&,429658,429658,2,Environmental Project Manager,21915,03,GEOLOGIST,Competitive,"Engineering, Architecture, & Planning","$ 67,757.00 - $ 98,128.00 (Annual)",Experienced (non-manager),30-30 Thomson Ave L I City Qns,Prog Mgmt/Sss-Environ Planning,01/31/2020,07/29/2020
